race_hippodrome;race_distance;race_discipline;race_allocation;race_nb_partants;horse_num;horse_nom;horse_age;horse_sexe;horse_driver;horse_entraineur;horse_deferrage;horse_cote;result_place;result_a_gagne;result_incident;hist_jours_depuis_derniere_course;hist_place_derniere_course;hist_rk_derniere_course
NANTES;3000;MONTE;19000;14;1;KING DU PLESSIS;5;HONGRES;Mme R. HAGHIGHAT;CH. BOISNARD;FERRE;83.0;0;0;DISQUALIFIE_POUR_ALLURE_IRREGULIERE;4;6.0;7750.0
NANTES;3000;MONTE;19000;14;2;KING COMMANDERIE;5;MALES;Mme O. CORBIN;R. CORBIN;FERRE;27.0;0;0;DISQUALIFIE_POUR_ALLURE_IRREGULIERE;23;;
NANTES;3000;MONTE;19000;14;3;KERGOLIO;5;HONGRES;Mme L. THORAVAL;LOIC GROUSSARD;DEFERRE_ANTERIEURS_POSTERIEURS;9.2;2;0;RAS;17;1.0;
NANTES;3000;MONTE;19000;14;4;KALYOPIE DU CANET;5;FEMELLES;M. POTIER;M. DAVID;PROTEGE_ANTERIEURS_POSTERIEURS;39.0;9;0;RAS;10;5.0;7660.0
NANTES;3000;MONTE;19000;14;5;KYOTO GEMA;5;HONGRES;A. LAY POTTIER;M. SASSIER;DEFERRE_ANTERIEURS_POSTERIEURS;3.9;5;0;RAS;10;3.0;7540.0
NANTES;3000;MONTE;19000;14;6;KOSTA BUROISE;5;FEMELLES;Mme C. BLAIZOT;P. DESSARTRE;DEFERRE_ANTERIEURS_POSTERIEURS;9.9;7;0;RAS;17;7.0;7570.0
NANTES;3000;MONTE;19000;14;7;KASTELBRAC;5;HONGRES;M. LELIEVRE;G. TADDEI;FERRE;3.1;1;1;RAS;24;;
NANTES;3000;MONTE;19000;14;8;KODIAC DE GUEZ;5;HONGRES;M. CATHERINE-PEZET;Anthony PERRIN;DEFERRE_ANTERIEURS_POSTERIEURS;45.0;8;0;RAS;10;4.0;7750.0
NANTES;3000;MONTE;19000;14;9;KILLER JAYF;5;HONGRES;Mlle C. JARY;D. CHERBONNEL;PROTEGE_ANTERIEURS;9.4;3;0;RAS;10;;
NANTES;3000;MONTE;19000;14;10;KISS ME DE CORTEM;5;FEMELLES;M. DELORME;St. PROVOOST;DEFERRE_ANTERIEURS;50.0;11;0;RAS;12;;
NANTES;3000;MONTE;19000;14;11;KECILPOSTE;5;FEMELLES;Mlle L.A. LECOQ;G. DONIO;FERRE;10.0;10;0;RAS;10;8.0;7780.0
NANTES;3000;MONTE;19000;14;12;KAPRI PAULO;5;FEMELLES;R. VILAULT;Anthony ALLAIS;DEFERRE_ANTERIEURS_POSTERIEURS;35.0;0;0;DISQUALIFIE_POUR_ALLURE_IRREGULIERE;10;4.0;7760.0
NANTES;3000;MONTE;19000;14;13;KAOLIN DE FONTAINE;5;HONGRES;Mme E. BECERRA;J. DUBREIL;DEFERRE_ANTERIEURS_POSTERIEURS;82.0;4;0;RAS;24;;
NANTES;3000;MONTE;19000;14;14;KERIDA PHEDO;5;FEMELLES;Mme M. TROGNON;Olivier TOUVAIS;FERRE;29.0;6;0;RAS;32;6.0;7630.0
