race_id,race_number,date_course,horse_id,target_rank,hippodrome,distance,weather_temperature,age,sex,shoeing_status,driver,entraineur,gains_carriere,cote_matin,avg_red_km_last_5,nb_races_last_5,nb_dai_last_5,avg_place_last_5,days_since_last_race,is_debutant
2,2,2025-11-05,16,13,PET,3000,18.0,8,HONGRES,,J. TRAVERS,St. PROVOOST,27703500.0,18.0,7366.666666666667,5,0,3.3333333333333335,1.0,False
2,2,2025-11-05,17,12,PET,3000,18.0,6,FEMELLES,,A. COLLETTE,- DISP. ART. 27§ VIII,28295000.0,81.0,7286.666666666667,5,0,3.0,1.0,False
2,2,2025-11-05,18,2,PET,3000,18.0,8,HONGRES,DEFERRE_ANTERIEURS_POSTERIEURS,F. NIVARD,TH. RAFFEGEAU,28928500.0,19.0,7330.0,5,1,4.5,1.0,False
2,2,2025-11-05,19,4,PET,3000,18.0,8,HONGRES,DEFERRE_ANTERIEURS_POSTERIEURS,A. BARRIER,S.G. DUPONT,29225500.0,12.0,7387.5,5,0,5.2,1.0,False
2,2,2025-11-05,20,1,PET,3000,18.0,5,MALES,DEFERRE_ANTERIEURS_POSTERIEURS,E. RAFFIN,Antoine LHERETE,29500000.0,4.5,7285.0,5,1,3.75,1.0,False
2,2,2025-11-05,21,7,PET,3000,18.0,8,HONGRES,PROTEGE_ANTERIEURS,S. HARDY,S. HARDY,29697000.0,18.0,7320.0,5,0,6.25,1.0,False
2,2,2025-11-05,22,11,PET,3000,18.0,6,HONGRES,,R. CONGARD,N. BAZIRE,36443000.0,86.0,7535.0,5,0,4.0,1.0,False
2,2,2025-11-05,24,9,PET,3000,18.0,8,HONGRES,,G. MARIN,N. BAZIRE,44740000.0,113.0,7195.0,5,1,5.25,1.0,False
2,2,2025-11-05,25,3,PET,3000,18.0,7,HONGRES,DEFERRE_ANTERIEURS_POSTERIEURS,B. ROCHARD,M. SASSIER,45272000.0,2.3,7224.0,5,0,2.0,22.0,False
2,2,2025-11-05,26,5,PET,3000,18.0,9,HONGRES,DEFERRE_ANTERIEURS_POSTERIEURS,A. WIELS,J.P. MARMION,51380000.0,12.0,7220.0,5,0,6.0,38.0,False
2,2,2025-11-05,27,8,PET,3000,18.0,6,MALES,,D. THOMAIN,CL. THOMAIN,54039000.0,73.0,7316.666666666667,3,0,6.333333333333333,1.0,False
2,2,2025-11-05,28,6,PET,3000,18.0,8,HONGRES,DEFERRE_ANTERIEURS,M. ABRIVARD,St. PROVOOST,55536000.0,9.5,7330.0,5,1,4.333333333333333,1.0,False
2,2,2025-11-05,29,14,PET,3000,18.0,7,MALES,,P. TIJOU,- DISP. ART. 27§ VIII,65711000.0,114.0,7125.0,5,0,3.75,1.0,False
2,2,2025-11-05,30,10,PET,3000,18.0,5,FEMELLES,,W. BIGEON,W. BIGEON,89540000.0,64.0,7157.5,5,0,5.25,1.0,False
3,3,2025-11-05,31,2,PET,3000,18.0,6,HONGRES,,C. BATY,C. BATY,3057000.0,15.0,7700.0,5,4,2.0,1.0,False
3,3,2025-11-05,32,3,PET,3000,18.0,6,HONGRES,DEFERRE_ANTERIEURS_POSTERIEURS,D. CHARRUAU,TH. DESMARRES,5448700.0,12.0,7760.0,5,0,6.4,21.0,False
